agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
City of Santa Maria,90087,Santa Maria,Santa Barbara,Santa Barbara,https://www.cityofsantamaria.org/services/departments/department-of-public-works/santa-maria-regional-transit-5008,5.0,San Luis Obispo / Santa Barbara,True,True,5307;5310;5311,,25.0,https://smrt.tripshot.com/v1/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820
Napa Valley Transportation Authority,90088,Napa,Napa,Napa,http://www.vinetransit.com/,4.0,Bay Area / Oakland,True,True,5307;5310;5311,,48.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=VN;https://data.trilliumtransit.com/gtfs/vinetransit-ca-us/vinetransit-ca-us.zip;https://napa.syncromatics.com/gtfs
County of Sonoma,90089,Santa Rosa,Sonoma,Sonoma,http://www.sctransit.com/,4.0,Bay Area / Oakland,True,True,5307;5310;5311,,56.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SO;https://data.trilliumtransit.com/gtfs/sonomacounty-ca-us/sonomacounty-ca-us.zip
Yolo County Transportation District,90090,Woodland,Yolo,Yolo,http://www.yolobus.com/,3.0,Marysville / Sacramento,True,True,5307;5311,,44.0,https://avl.yctd.org/realtime/google_transit.zip
City of Visalia,90091,Visalia,Tulare,Tulare,https://www.visalia.city/depts/transportation_services/transit/default.asp,6.0,Fresno / Bakersfield,True,True,5303;5307;5310;5311;5339,,37.0,https://tc-web.widen.net/content/thmmnlen0j/original/8F5366C7-C947-97A3-22F704DE8660AD72.zip?t.download=true
"City of Fairfield, California",90092,Fairfield,Solano,Solano,https://fasttransit.org/,4.0,Bay Area / Oakland,True,True,5307,,22.0,https://api.511.org/transit/datafeeds?operator_id=FS;https://api.511.org/transit/datafeeds?operator_id=RG;https://data.trilliumtransit.com/gtfs/fairfield-ca-us/fairfield-ca-us.zip
Redding Area Bus Authority,90093,Redding,Shasta,Shasta,http://www.rabaride.com/,2.0,Redding,True,True,5307;5311;5337,,23.0,https://rabagtfs.z5.web.core.windows.net/rabagtfs.zip;https://rabagtfs.z5.web.core.windows.net/rabagtfs_flex.zip
Metropolitan Transportation Commission,90094,San Francisco,San Francisco,San Francisco,https://511.org/vanpool,4.0,Bay Area / Oakland,True,False,,,562.0,
San Diego Association of Governments,90095,San Diego,San Diego,San Diego,https://www.sandag.org/vanpool,11.0,San Diego,True,False,,,395.0,
City of Laguna Beach,90119,Laguna Beach,Orange,Orange,https://www.lagunabeachcity.net/live-here/parking-and-transportation/trolleys,12.0,Orange County,True,True,,,24.0,https://data.trilliumtransit.com/gtfs/lagunabeach-ca-us/lagunabeach-ca-us.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/LagunaBeachTransitLocalFlex.zip
Antelope Valley Transit Authority,90121,Lancaster,Los Angeles,Los Angeles,http://www.avta.com/,7.0,Los Angeles / Ventura,True,True,5307;5310;5311,,88.0,https://www.avta.com/userfiles/files/AVTA_GTFS.zip
Peninsula Corridor Joint Powers Board,90134,San Carlos,San Mateo,San Mateo,http://www.caltrain.com/,4.0,Bay Area / Oakland,True,True,5307;5309;5337,,72.0,https://api.511.org/transit/datafeeds?operator_id=CT;https://api.511.org/transit/datafeeds?operator_id=RG;https://data.trilliumtransit.com/gtfs/caltrain-ca-us/caltrain-ca-us.zip
"University of California, Davis",90142,Davis,Yolo,Yolo,http://unitrans.ucdavis.edu,3.0,Marysville / Sacramento,False,True,5307;5339,29.0,29.0,https://unitrans.ucdavis.edu/sites/g/files/dgvnsk13431/files/media/documents/Unitrans_GTFS.zip
Livermore / Amador Valley Transit Authority,90144,Livermore,Alameda,Alameda;Contra Costa,http://www.wheelsbus.com/,4.0,Bay Area / Oakland,True,True,5307;5311,,49.0,http://webwatch.lavta.org/TMGTFSRealTimeWebService/GTFS-Static/google_transit.zip;https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=WH
Foothill Transit,90146,West Covina,Los Angeles,Los Angeles,http://www.foothilltransit.org/,7.0,Los Angeles / Ventura,True,True,5307;5339,,303.0,https://foothill3rdparty.rideralerts.com/myStop/gtfs-zip.ashx
City of Los Angeles,90147,Los Angeles,Los Angeles,Los Angeles,http://www.ladottransit.com/,7.0,Los Angeles / Ventura,True,True,5307;5309;5310;5339,,389.0,https://ladotbus.com/gtfs
Victor Valley Transit Authority,90148,Hesperia,San Bernardino,San Bernardino,http://www.vvta.org/,8.0,San Bernardino / Riverside,True,True,5307;5310;5311;5316;5317;5339,,304.0,https://api.transloc.com/gtfs/vvta.zip;https://ontime.vvta.org/gtfs
City of Lompoc,90149,Lompoc,Santa Barbara,Santa Barbara,http://www.cityoflompoc.com/transit/,5.0,San Luis Obispo / Santa Barbara,True,True,5307,,10.0,https://www.cityoflompoc.com/home/showpublisheddocument/29896
Southern California Regional Rail Authority,90151,Los Angeles,Los Angeles,Los Angeles,http://www.metrolinktrains.com/,7.0,Los Angeles / Ventura,True,True,5307;5337,,195.0,https://www.metrolinktrains.com/globalassets/about/gtfs/gtfs.zip
Los Angeles County Metropolitan Transportation Authority,90154,Los Angeles,Los Angeles,Los Angeles,http://www.metro.net/,7.0,Los Angeles / Ventura,True,True,5307;5309;5337;5339,1817.0,2722.0,https://gitlab.com/LACMTA/gtfs_bus/raw/master/gtfs_bus.zip;https://gitlab.com/LACMTA/gtfs_rail/raw/master/gtfs_rail.zip
City of Vacaville,90155,Vacaville,Solano,Solano,http://www.citycoach.com/,4.0,Bay Area / Oakland,True,True,5307,,14.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=VC;https://myride.citycoach.com/gtfs/google_transit.zip
City of San Luis Obispo,90156,San Luis Obispo,San Luis Obispo,San Luis Obispo,www.slotransit.org,5.0,San Luis Obispo / Santa Barbara,True,True,5307,,18.0,http://data.peaktransit.com/staticgtfs/1/gtfs.zip;https://app.mecatran.com/urb/ws/feed/c2l0ZT1zbG90cmFuc2l0O2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT0zZTMwMzM1OTRiMTE2NzA0N2IxNjQwNjA0ZjQwMGMzMzdiM2E1MTQ0
Access Services,90157,El Monte,Los Angeles,Los Angeles,https://accessla.org/,7.0,Los Angeles / Ventura,True,False,,,1047.0,
Western Contra Costa Transit Authority,90159,Pinole,Contra Costa,Contra Costa,http://www.westcat.org/,4.0,Bay Area / Oakland,True,True,5307,,33.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=WC;https://data.trilliumtransit.com/gtfs/westcat-ca-us/westcat-ca-us.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/WestCATSeniorDialARideandParatransitFlex.zip
City of Union City,90161,Union City,Alameda,Alameda,http://www.uctransit.org/,4.0,Bay Area / Oakland,True,True,5307,,21.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=UC;https://data.trilliumtransit.com/gtfs/unioncity-ca-us/unioncity-ca-us.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/UnionCityParatransitFlex.zip;https://uctransit.info/gtfs
The Eastern Contra Costa Transit Authority,90162,Antioch,Contra Costa,Contra Costa,http://www.trideltatransit.com/,4.0,Bay Area / Oakland,True,True,5307;5311,,97.0,https://api.511.org/transit/datafeeds?operator_id=3D;https://api.511.org/transit/datafeeds?operator_id=RG
City of Camarillo,90163,Camarillo,Ventura,Ventura,https://www.cityofcamarillo.org/residents/public_transportation/index.php,7.0,Los Angeles / Ventura,True,True,5307,,18.0,https://govcbus.com/gtfs;https://gtfs.dds.dot.ca.gov/gtfs_files/CamarilloGTFS.zip
Ventura County Transportation Commission,90164,Camarillo,Ventura,Santa Clara;Ventura,http://www.goventura.org/,7.0,Los Angeles / Ventura,True,True,5307;5311;5339,,42.0,https://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip;https://govcbus.com/gtfs;https://gtfs.dds.dot.ca.gov/gtfs_files/ValleyExpressDialARideFlex.zip
City of Thousand Oaks,90165,Thousand Oaks,Ventura,Ventura,https://toaks.gov/transit,7.0,Los Angeles / Ventura,True,True,5307;5310,,21.0,https://data.trilliumtransit.com/gtfs/thousandoaks-ca-us/thousandoaks-ca-us.zip;https://govcbus.com/gtfs
City of Davis,90167,Davis,Yolo,Yolo,http://cityofdavis.org/city-hall/parks-and-community-services/davis-community-transit,3.0,Marysville / Sacramento,True,False,,3.0,3.0,
City of Roseville,90168,Roseville,Placer,Placer,http://www.roseville.ca.us/transit/,3.0,Marysville / Sacramento,True,True,5307,,24.0,https://cityofroseville.tripshot.com/v1/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820;https://iportal.sacrt.com/gtfs/Roseville/google_transit.zip
City of Santa Clarita,90171,Santa Clarita,Los Angeles,Los Angeles,http://santaclaritatransit.com,7.0,Los Angeles / Ventura,True,True,5307,,88.0,https://apps.santaclaritatransit.com/rtt/public/utility/gtfs.aspx
