agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
City of Inglewood,90268,Inglewood,Los Angeles,Los Angeles,https://www.cityofinglewood.org/796/Transportation,7.0,Los Angeles / Ventura,True,True,,9.0,9.0,https://www.cityofinglewood.org/documentcenter/view/21177
Los Angeles County,90269,Alhambra,Los Angeles,Los Angeles,www.lagobus.info,,,,,,,2.0,
Los Angeles County,90270,Alhambra,Los Angeles,Los Angeles,https://www.dpw.lacounty.gov/landing/transportation.cfm,,,,,,,1.0,
Los Angeles County,90271,Alhambra,Los Angeles,Los Angeles,www.lagobus.org,7.0,Los Angeles / Ventura,True,True,5311,,16.0,https://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip
Los Angeles County,90272,Alhambra,Los Angeles,Los Angeles,https://www.dpw.lacounty.gov/landing/transportation.cfm,,,,,,,1.0,
Los Angeles County,90273,Alhambra,Los Angeles,Los Angeles,https://www.dpw.lacounty.gov/landing/transportation.cfm,,,,,,,2.0,
Los Angeles County,90274,Alhambra,Los Angeles,Los Angeles,www.lagobus.info,,,,,,,2.0,
Los Angeles County,90275,Alhambra,Los Angeles,Los Angeles,www.lagobus.info,,,,,,,1.0,
Los Angeles County,90276,Alhambra,Los Angeles,Los Angeles,https://www.dpw.lacounty.gov/landing/transportation.cfm,,,,,,,5.0,
Los Angeles County,90277,Alhambra,Los Angeles,Los Angeles,https://dpw.lacounty.gov/transit/DAR.aspx#pageTitle,,,,,,,10.0,
Los Angeles County,90278,Alhambra,Los Angeles,Los Angeles,http://www.dpw.lacounty.gov/transit,,,,,,,3.0,
Los Angeles County,90279,Alhambra,Los Angeles,Los Angeles,http://www.dpw.lacounty.gov/transit/,,,,,,,3.0,
City of Lynwood,90281,Lynwood,Los Angeles,Los Angeles,https://www.lynwoodca.gov/252/Lynwood-Breeze-Trolley-Schedule,7.0,Los Angeles / Ventura,True,True,,,4.0,https://www.ips-systems.com/GTFS/Schedule/53
City of Malibu,90282,Malibu,Los Angeles,Los Angeles,https://www.malibucity.org/343/Senior-Center,7.0,Los Angeles / Ventura,True,False,,,2.0,
City of Manhattan Beach,90283,Manhattan Beach,Los Angeles,Los Angeles,www.citymb.info/departments/parks-and-recreation/older-adults-program/dial-a-ride,7.0,Los Angeles / Ventura,True,False,,3.0,3.0,
City of Maywood,90284,Maywood,Los Angeles,Los Angeles,https://www.cityofmaywood.com/200/Transportation,7.0,Los Angeles / Ventura,True,True,,,5.0,https://gtfs.dds.dot.ca.gov/gtfs_files/MaywoodGTFS.zip
City of Monrovia,90285,Monrovia,Los Angeles,Los Angeles,https://www.cityofmonrovia.org/your-government/public-works/transportation/gomonrovia,7.0,Los Angeles / Ventura,True,True,,,4.0,
City of Monterey Park,90286,Montery Park,Los Angeles,Los Angeles,http://www.montereypark.ca.gov/549/Spirit-Bus,7.0,Los Angeles / Ventura,True,True,,4.0,12.0,https://passio3.com/montereyp/passioTransit/gtfs/google_transit.zip
Palos Verdes Peninsula Transit Authority,90287,Rolling Hills,Los Angeles,Los Angeles,http://www.palosverdes.com/pvtransit/,7.0,Los Angeles / Ventura,True,True,,,27.0,https://data.trilliumtransit.com/gtfs/pvpta-ca-us/pvpta-ca-us.zip
City of Pico Rivera,90288,Pico Rivera,Los Angeles,Los Angeles,https://www.pico-rivera.org/transportation/,7.0,Los Angeles / Ventura,True,False,,,2.0,
City of Rosemead,90289,Rosemead,Los Angeles,Los Angeles,http://www.cityofrosemead.org/cms/one.aspx?pageId=10909050,7.0,Los Angeles / Ventura,True,False,,,7.0,
City of Santa Fe Springs,90290,Santa Fe Springs,Los Angeles,Los Angeles,https://www.santafesprings.org/departments/transportation_services.php,7.0,Los Angeles / Ventura,True,False,,2.0,2.0,
City of South Gate,90291,South Gate,Los Angeles,Los Angeles,https://www.cityofsouthgate.org/City-Services/Transportation,7.0,Los Angeles / Ventura,True,True,,,15.0,https://www.cityofsouthgate.org/files/sharedassets/public/v/2/government/parks-amp-recreation/documents/southgategtfs-2025-03-17.zip
City of South Pasadena,90292,South Pasadena,Los Angeles,Los Angeles,https://www.southpasadenaca.gov/government/departments/community-services/dial-a-ride,7.0,Los Angeles / Ventura,True,False,,4.0,4.0,
City of West Covina,90293,West Covina,Los Angeles,Los Angeles,https://www.westcovina.org/departments/community-services-department/transit-services,7.0,Los Angeles / Ventura,True,True,,,8.0,https://www.westcovina.gov/DocumentCenter/View/2039
City of West Hollywood,90294,West Hollywood,Los Angeles,Los Angeles,https://www.weho.org/services/public-transportation-transit-options,7.0,Los Angeles / Ventura,True,True,,,9.0,https://www.weho.org/home/showdocument?id=53383&t=638712594969943786
City of Whittier,90295,Whittier,Los Angeles,Los Angeles,https://www.whittierprcs.org/transit/dial-a-ride-and-dar-plus,7.0,Los Angeles / Ventura,True,False,,,10.0,
City of Claremont,90296,Claremont,Los Angeles,Los Angeles,pvtrans.org,7.0,Los Angeles / Ventura,True,False,,,17.0,
County of Ventura,90298,Ventura,Ventura,Ventura,https://www.vcpublicworks.org/rt/publictransportation/,7.0,Los Angeles / Ventura,True,False,,,4.0,
Sonoma-Marin Area Rail Transit District,90299,Petaluma,Sonoma,Sonoma,www.sonomamarintrain.org,4.0,Bay Area / Oakland,True,True,5307,12.0,14.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SA;https://data.trilliumtransit.com/gtfs/smart-ca-us/smart-ca-us.zip
City of Artesia,90300,Artesia,Los Angeles,Los Angeles,http://www.cityofartesia.us/index.aspx?NID=189,7.0,Los Angeles / Ventura,True,True,,,6.0,https://gtfs.dds.dot.ca.gov/gtfs_files/ArtesiaGTFS.zip
City of Lakewood,90301,Lakewood,Los Angeles,Los Angeles,https://www.lakewoodcity.org/Residents/Senior-Services/DASH-Transit-and-Buses,7.0,Los Angeles / Ventura,True,False,,12.0,12.0,
San Bernardino County Transportation Authority,90302,San Bernardino,San Bernardino,San Bernardino,www.gosbcta.com,8.0,San Bernardino / Riverside,True,True,5307,,79.0,https://www.metrolinktrains.com/globalassets/about/gtfs/gtfs.zip
Santa Barbara County Association of Governments,90303,Santa Barbara,Santa Barbara,Santa Barbara,https://cleanairexpress.com/,5.0,San Luis Obispo / Santa Barbara,True,True,5307,,10.0,https://cleanairexpress.com/wp-content/uploads/GTFS.zip
Stanislaus Regional Transit Authority,90306,Modesto,Stanislaus,Stanislaus,https://stanrta.org/,10.0,Stockton,True,True,5311,,108.0,https://gtfs.dds.dot.ca.gov/gtfs_files/StanRTAModestoNewmanOakdalePattersomandRiverbankFlex.zip;https://stanrta.rideralerts.com/InfoPoint/gtfs-zip.ashx
Tulare County Regional Transit Agency,90310,Visalia,Tulare,Tulare,www.gotcrta.org,6.0,Fresno / Bakersfield,True,True,5311,,45.0,http://data.peaktransit.com/staticgtfs/120/gtfs.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/TulareCountyAreaTransitandDialARideFlex.zip
Stanislaus Council of Governments,90311,Modesto,Stanislaus,Stanislaus,https://staniscruise.com/,,,,,,,100.0,
Sacramento Area Council of Governments,90312,Sacramento,Sacramento,Sacramento,www.sacog.org,,,,,,,,
City of Clovis,90313,Clovis,Fresno,Fresno,https://clovistransit.com,,,,,,35.0,35.0,
Attentive Transportation LLC,90314,Sacramento,Sacramento,Sacramento,www.attentivetransportation.com,,,,,,1.0,1.0,
Amador Transit,91000,Jackson,Amador,Amador,http://amadortransit.com/,,,,,,17.0,17.0,
City of Corcoran,91002,Corcoran,Kings,Kings,http://www.cityofcorcoran.com/,,,,,,4.0,4.0,
Madera County,91005,Madera,Madera,Madera,https://www.maderacounty.com/government/public-works/transit,,,,,,,9.0,
City of Ridgecrest,91006,Ridgecrest,Kern,Kern,http://ridgecrest-ca.gov/,,,,,,5.0,5.0,
Fresno County Rural Transit Agency,91007,Fresno,Fresno,Fresno,http://www.ruraltransit.org/,,,,,,,65.0,
Modoc Transportation Agency,91008,Alturas,Modoc,Modoc,http://sagestage.com/,,,,,,,3.0,
San Benito County Local Transportation Authority,91009,Hollister,San Benito,San Benito,http://www.sanbenitocountyexpress.org/,,,,,,,19.0,
Mountain Area Regional Transit Authority,91012,Big Bear Lake,San Bernardino,San Bernardino,http://mountaintransit.org/,,,,,,32.0,32.0,
City of Rio Vista,91014,Rio Vista,Solano,Solano,https://www.riovistacity.com/deltabreeze,,,,,,,2.0,
City of Arcata,91018,Arcata,Humboldt,Humboldt,http://www.cityofarcata.org/,,,,,,,3.0,
City of Needles,91020,Needles,San Bernardino,San Bernardino,http://www.cityofneedles.com/,,,,,,,1.0,
City of Arvin,91027,Arvin,Kern,Kern,http://www.arvin.org/,,,,,,4.0,4.0,
City of Solvang,91028,Solvang,Santa Barbara,Santa Barbara,http://www.syvt.com,,,,,,,5.0,
City of Auburn,91032,Auburn,Placer,Placer,https://www.auburn.ca.gov/192/Transit-Services,,,,,,6.0,6.0,
Trinity County,91035,Weaverville,,,http://www.trinitycounty.org/,,,,,,4.0,4.0,
Humboldt Transit Authority,91036,Eureka,Humboldt,Humboldt,http://www.hta.org/,,,,,,17.0,22.0,
Sierra County,91038,Downieville,,,http://sierracounty.ca.gov/,,,,,,,4.0,
City of Dixon,91041,Dixon,Solano,Solano,http://www.ci.dixon.ca.us/,,,,,,10.0,10.0,
City of Guadalupe,91043,Guadalupe,Santa Barbara,Santa Barbara,http://www.ci.guadalupe.ca.us/,,,,,,,3.0,
Mendocino Transit Authority,91047,Ukiah,Mendocino,Mendocino,http://www.mendocinotransit.org,,,,,,20.0,20.0,
County of Siskiyou,91048,Yreka,Siskiyou,Siskiyou,http://www.co.siskiyou.ca.us/,,,,,,5.0,5.0,
Lake Transit Authority,91053,Lower Lake,,,http://laketransit.org/,,,,,,,26.0,
Tuolumne County Transit Agency,91057,Sonora,Tuolumne,Tuolumne,https://www.tuolumnecountytransit.com/,,,,,,,9.0,
City of Ojai,91058,Ojai,Ventura,Ventura,https://www.ojaitrolley.com/,,,,,,2.0,2.0,
County of Kern,91059,Bakersfield,Kern,Kern,http://kerntransit.org/,,,,,,,40.0,
Eastern Sierra Transit Authority,91062,Bishop,Inyo,Inyo,https://www.estransit.com,,,,,,37.0,37.0,
City of Taft,91066,Taft,Kern,Kern,http://www.cityoftaft.org/pView.aspx?id=5385&catid=562,,,,,,3.0,3.0,
Yosemite Area Regional Transportation System,91070,Merced,Merced,Merced,http://www.YARTS.com,,,,,,,13.0,
City of Chowchilla,91071,Chowchilla,Madera,Madera,https://www.cityofchowchilla.org/,,,,,,2.0,2.0,
City of Tehachapi,91074,Tehachapi,Kern,Kern,http://www.liveuptehachapi.com/,,,,,,,,
City of Escalon,91078,Escalon,San Joaquin,San Joaquin,http://cityofescalon.org/government/departments/transit_service,,,,,,,3.0,
Mariposa County,91082,Mariposa,,,https://www.mariposacounty.org/422/Transportation?,,,,,,8.0,8.0,
County of Glenn,91088,Willows,Glenn,Glenn,https://www.countyofglenn.net/dept/public-works/public-transit-transportation/welcome,,,,,,,4.0,
Tehama County,91089,Gerber,,,http://www.taketrax.com/,,,,,,,14.0,
Morongo Basin Transit Authority,91090,Joshua Tree,,,http://www.mbtabus.com,,,,,,13.0,13.0,
County of Nevada,91095,Nevada City,Nevada,Nevada,https://www.nevadacountyca.gov/3456/Transit-Services,,,,,,7.0,17.0,
Redwood Coast Transit Authority,91097,Crescent City,Del Norte,Del Norte,http://www.redwoodcoasttransit.org/,,,,,,,4.0,
Lassen Transit Service Agency,91098,Susanville,Lassen,Lassen,http://lassentransportation.com/ltsa,,,,,,,5.0,
Town of Truckee,91101,Truckee,,,http://www.townoftruckee.com/,,,,,,,6.0,
City of McFarland,91110,Mcfarland,,,http://www.mcfarlandcity.org,,,,,,1.0,1.0,
City of California City,91111,California City,Kern,Kern,http://www.californiacity-ca.gov/CC/,,,,,,2.0,2.0,
County of Colusa,91112,Colusa,Colusa,Colusa,https://www.countyofcolusa.org/181/Transit,,,,,,7.0,7.0,
County of Alpine,91116,Markleeville,,,http://www.alpinecountyca.gov/index.aspx?NID=159,,,,,,1.0,1.0,
Plumas County Transportation Commission,91119,Quincy,,,http://www.countyofplumas.com/,,,,,,,6.0,
City of Shafter,91120,Shafter,Kern,Kern,http://www.shafter.com/,,,,,,2.0,2.0,
Yurok Tribe,99262,Klamath,Del Norte,Del Norte,http://www.yuroktribe.org/,1.0,Eureka,True,True,5311,6.0,6.0,https://gtfs.dds.dot.ca.gov/gtfs_files/YurokGTFS.zip
Bishop Paiute Tribe,99268,Bishop,Inyo,Inyo,http://www.bishoppaiutetribe.com/,9.0,Bishop,True,False,,,,
Blue Lake Rancheria,99292,Blue Lake,Humboldt,Humboldt,https://www.bluelakerancheria-nsn.gov/initiatives/transportation/,1.0,Eureka,True,False,,,,
Quechan Indian Tribe,99310,Winterhaven,Imperial,,http://www.ycipta.org/routes/5,11.0,San Diego,True,False,,,,
Chemehuevi Indian Tribe,99316,Havasu Lake,San Bernardino,,https://www.havasulandingcasino.com/ferry-schedule,8.0,San Bernardino / Riverside,True,True,5311,2.0,2.0,https://gtfs.dds.dot.ca.gov/gtfs_files/HavasuLandingFerryGTFS.zip
Morongo Band of Mission Indians,99358,Banning,Riverside,Riverside,https://morongonation.org/transportation/,8.0,San Bernardino / Riverside,True,True,,1.0,1.0,
North Fork Rancheria of Mono Indians of California,99364,North Fork,Madera,Madera,http://northforkrancheria-nsn.gov/,6.0,Fresno / Bakersfield,True,False,,2.0,2.0,
Tule River Tribe,99370,Porterville,Tulare,Tulare,http://www.tulerivertribe-nsn.gov/,6.0,Fresno / Bakersfield,True,False,,,,
San Joaquin Council,99422,Stockton,San Joaquin,San Joaquin,http://www.sjcog.org/,10.0,Stockton,True,False,,,403.0,
City of Glendale,99423,Glendale,Los Angeles,Los Angeles,www.glendaleca.gov/government/departments/public-works/public-transportation/beeline-transit-system,7.0,Los Angeles / Ventura,True,True,5307,,41.0,https://glendaleca.gov/Home/ShowDocument?id=29549
City of Pasadena,99424,Pasadena,Los Angeles,Los Angeles,https://www.cityofpasadena.net/pasadena-transit/,7.0,Los Angeles / Ventura,True,True,5316,,33.0,https://rt.pasadenatransit.net/rtt/public/utility/gtfs.aspx
Pomona Valley Transportation Authority,99425,La Verne,Los Angeles,Los Angeles,http://www.pvtrans.org/,7.0,Los Angeles / Ventura,True,True,,,42.0,
City of Wasco,99426,Wasco,Kern,Kern,http://www.ci.wasco.ca.us/,,,,,,3.0,3.0,
County of Shasta Department of Public Works,99438,Redding,Shasta,Shasta,https://www.co.shasta.ca.us/index/pw_index/rural-transit,,,,,,,,
Calaveras Transit Agency,99442,San Andreas,,,http://calaverasconnect.org/,,,,,,,11.0,
City of South El Monte,99443,S El Monte,,,http://www.ci.south-el-monte.ca.us/,,,,,,,,
Bob Hope Airport,99444,Burbank,Los Angeles,Los Angeles,www.hollywoodburbankairport.com,,,,,,,,
City of La Habra Heights,99445,La Habra Heights,Los Angeles,Los Angeles,www.Lhhcity.org,,,,,,,,
City of Sierra Madre,99447,Sierra Madre,Los Angeles,Los Angeles,www.cityofsierramadre.com,,,,,,,,
City of Palmdale,99448,Palmdale,Los Angeles,Los Angeles,https://www.cityofpalmdale.org/,,,,,,,,
City of El Segundo,99449,El Segundo,Los Angeles,Los Angeles,https://www.elsegundo.org/,,,,,,,,
City of Hawaiian Gardens,99450,Hawaiian Gardens,Los Angeles,Los Angeles,https://hgcity.org/hg/,,,,,,,,
City of San Fernando,99451,San Fernando,Los Angeles,Los Angeles,http://ci.san-fernando.ca.us/getting-around/,,,,,,,,
Palo Verde Valley Transit Agency,99454,Blythe,Riverside,Riverside,www.pvvta.com,,,,,,,7.0,
Jewish Family Service of San Diego,99468,San Diego,San Diego,San Diego,https://www.jfssd.org/,,,,,,,,
Full Access & Coordinated Transportation Inc.,99469,Oceanside,San Diego,San Diego,https://factsd.org/,,,,,,,,
Travelers' Aid Society Of San Diego,99470,San Diego,San Diego,San Diego,https://www.travelersaidsandiego.org/,,,,,,,,
Total Deliverance Worship Center,99471,San Diego,San Diego,San Diego,https://totaldeliverance.org/,,,,,,,,
Renewing Life,99472,Bonita,,,https://renewinglife4sd.com/,,,,,,,,
Humboldt Transit Authority-Intercity,99476,Eureka,Humboldt,Humboldt,http://www.hta.org/,,,,,,,,
Mendocino Transit Authority-Intercity,99477,Ukiah,Mendocino,Mendocino,http://www.mendocinotransit.org,,,,,,,,
Redwood Coast Transit Authority-Intercity,99478,Crescent City,Del Norte,Del Norte,http://www.redwoodcoasttransit.org/,,,,,,,,
California Department of Transportation,9R02,Sacramento,Sacramento,Sacramento,http://www.dot.ca.gov/,3.0,Marysville / Sacramento,True,False,,,,
Los Angeles County Metropolitan Transportation Authority,A0003,Los Angeles,Los Angeles,Los Angeles,http://www.metro.net/,,,,,,,,
Ventura Intercity Service Transit Authority,A0005,Camarillo,Ventura,Ventura,http://www.goventura.org/,,,,,,,,
Humboldt Transit Authority,A0009,Eureka,Humboldt,Humboldt,http://www.hta.org/,,,,,,,,
Metropolitan Transportation Commission,A0013,San Francisco,San Francisco,San Francisco,http://www.mtc.ca.gov/,,,,,,,,
Redding Area Bus Authority,A0016,Redding,Shasta,Shasta,http://www.rabaride.com/,,,,,,,,
San Luis Obispo Regional Transit Authority,A0022,San Luis Obispo,San Luis Obispo,San Luis Obispo,http://www.slorta.org/,,,,,,,,
San Diego Association of Governments,A0030,San Diego,San Diego,San Diego,https://www.icommutesd.com/vanpool/vanpool,,,,,,,,
